provider.name,dataProvider.name,collection.id,collection.title,count
The_New_York_Public_Library,Music Division. The New York Public Library,04880918a603e72105e2989cc0abe892,Joseph Muller collection of music and other portraits,32
The_New_York_Public_Library,Music Division. The New York Public Library,1f613d0be7843084dfb22e43868b6d05,International music and drama,6
The_New_York_Public_Library,Music Division. The New York Public Library,bb3d687becda7a28156522e97510f6de,Musical news,21
The_New_York_Public_Library,Music Division. The New York Public Library,8cfff6a97fcfa1f148a6851abf203b03,Dictionary catalog of the music collection,125
The_New_York_Public_Library,Music Division. The New York Public Library,36dd4c7da920143a88304075e6994ab6,Collection of ledgers and cash books covering the period 1891-1925,15
The_New_York_Public_Library,Music Division. The New York Public Library,9f208379d773714ed70e68aece221b85,The Canadian journal of music,3
The_New_York_Public_Library,Music Division. The New York Public Library,82affc061957023a9c893fcfccd72789,"Sheet music of songs from various musicals, plays, movies, and television",12
The_New_York_Public_Library,Music Division. The New York Public Library,a8c469a65e940c82c9e5da02d5c7672b,The Cadenza,41
The_New_York_Public_Library,Music Division. The New York Public Library,d4d0d9e49e218dd8e7b3d961f3dc6f97,Musical world,4
The_New_York_Public_Library,Music Division. The New York Public Library,1ff0247a6d2375b22401394093930ae2,Allgemeine Musikalische Zeitung: mit besonderer Rücksicht auf den österreichischen Kaiserstaat,13
The_New_York_Public_Library,Music Division. The New York Public Library,2b91870de3ea055de04fb983a526f256,La Cronaca musicale,7
The_New_York_Public_Library,Music Division. The New York Public Library,c9eea43df19a8ae627e8367cd63c69c8,The Scottish musical magazine,4
The_New_York_Public_Library,Music Division. The New York Public Library,8b2275cbf8aa7635ce64d53b44a44668,"Musical magazine, review and register",2
The_New_York_Public_Library,Music Division. The New York Public Library,487e45a4537a1a2e4f5de888b51da987,Oriental music in European notation,1
The_New_York_Public_Library,Music Division. The New York Public Library,c8e1d2ce8a47c6af4ee2ba6cdea7e2d9,Music and musicians,8
The_New_York_Public_Library,Music Division. The New York Public Library,4cf4d3df27daf7bd8e8e102f8417fe49,The musical world,1
The_New_York_Public_Library,Music Division. The New York Public Library,db2494c4205a4e754af38b1dbf524353,The Bruno Walter papers,5
The_New_York_Public_Library,Music Division. The New York Public Library,ef3206460f09e8b1a559f919153b7ddc,The Music magazine/Musical courier,3
The_New_York_Public_Library,Music Division. The New York Public Library,ffc7822620567b8dbfc239e7de3d7280,Burnside collection of American theater music manuscripts,8
The_New_York_Public_Library,Music Division. The New York Public Library,8f38a54ed3840cdc151c867476b172a4,Eco musical,5
The_New_York_Public_Library,Music Division. The New York Public Library,8f0dbd6aad86ed7b0d22acf3fb3473a1,American Music Collection,3
The_New_York_Public_Library,Music Division. The New York Public Library,01f483cedd225255e64936e3872f0266,The Keynote,14
The_New_York_Public_Library,Music Division. The New York Public Library,e72ef1607d0272cf45ddab039d12d1ba,The Musical age,5
The_New_York_Public_Library,Music Division. The New York Public Library,91aa66cad15e212a369625813912ef26,Música de América,7
The_New_York_Public_Library,Music Division. The New York Public Library,23b02f97d71580ccceac4c425d3d97bf,Musical observer,4
The_New_York_Public_Library,Music Division. The New York Public Library,b57e3f0b6e6643e055f6a39f3289f471,La Musique populaire,8
The_New_York_Public_Library,Music Division. The New York Public Library,6e560821c47cbe5f8c22e8bb58c427a5,The New York musical echo,4
The_New_York_Public_Library,Music Division. The New York Public Library,247dbdb3615522821516bfd786514581,Published music,2
The_New_York_Public_Library,Music Division. The New York Public Library,b124ed53da13a060f1c7ce998d3b4449,L'equivoco stravagante,1
The_New_York_Public_Library,Music Division. The New York Public Library,76f4f3d7150cd5afcdad665fa4061c6e,Brainard's musical world,1
The_New_York_Public_Library,Music Division. The New York Public Library,157d1a0923690c1611a1e943b9389b31,Musik-Mappe: eine Zeitschrift mit Noten-Beilagen,1
The_New_York_Public_Library,Music Division. The New York Public Library,75e4bc855baa2437a69d6b5a0beb94af,Moderne Tonkunst,1
The_New_York_Public_Library,Music Division. The New York Public Library,abf497a8bbd5be10e3e92f26883e9415,"American Music, 1830-1870.",1
The_New_York_Public_Library,Music Division. The New York Public Library,bf5cf8b98382e2b83029545d2f6ff089,"The English musical gazette, or, Monthly intelligencer",2
The_New_York_Public_Library,George Arents Collection. The New York Public Library,4b2c78d8d91b78c5060cdef2b27ff198,Cigarette cards,469
The_New_York_Public_Library,George Arents Collection. The New York Public Library,8da6a097b9ab08638ac1be6b2212c7ba,"Tobacco, its history illustrated by the books, manuscripts, and engravings in the library of George Arents, Jr. : together with an introductory essay, a glossary and bibliographic notes",14
The_New_York_Public_Library,George Arents Collection. The New York Public Library,3f1d123aae1f577c7de0929bccd53698,Almanack for ....,3
The_New_York_Public_Library,George Arents Collection. The New York Public Library,6c7b3e10437e6fb5236af8a5228ce44b,"Tobacco, a catalogue of the books, manuscripts, and engravings acquired since 1942 in the Arents Tobacco Collection at The New York Public Library, from 1507 to the present",8
The_New_York_Public_Library,George Arents Collection. The New York Public Library,70a934b9d62a2baa16e1cf59c7fb5880,Album of Turkish Costume Paintings,1
The_New_York_Public_Library,George Arents Collection. The New York Public Library,599455ae83e7a3ef06884b4d6a9aed22,"Drawings, engraved plates, printed excerpts, etc. of tobacco interest from the 18th and 19th century, especially assembled for George Arents, Jr.",1
The_New_York_Public_Library,George Arents Collection. The New York Public Library,f0a60a432110008be87efb929db65ea2,Letter-book,1
The_New_York_Public_Library,George Arents Collection. The New York Public Library,d9f8179f100c79607e7b2c750246b21e,"Tobacco, its history and associations: including an account of the plant and its manufacture; with its modes of use in all ages and countries",2
The_New_York_Public_Library,George Arents Collection. The New York Public Library,725aa221476732a82f58e0adc89e99f2,"Constantinople and the scenery of the Seven Churches of Asia Minor illustrated, First [-second] series",1
The_New_York_Public_Library,General Research Division. The New York Public Library,74f02f8d4234bf159a146866f3292668,"American railway guide, and pocket companion, for the United States",8
The_New_York_Public_Library,General Research Division. The New York Public Library,fe4b8755711553bd7a47dd48c198760a,The Villager,52
The_New_York_Public_Library,General Research Division. The New York Public Library,9a24bf3b268934ed11d15e80a44b4d2f,The Vinkhuijzen collection of military uniforms,191
The_New_York_Public_Library,General Research Division. The New York Public Library,db1f3f847269a7a00d77ef7e5d4cc9d2,"Ami du peuple, ou, le Publiciste parisien : journal politique, libre et impartial",40
The_New_York_Public_Library,General Research Division. The New York Public Library,bb867829b7cae68309090e5e30ccb6c3,Annual report of the American Type Founders' Company,5
The_New_York_Public_Library,General Research Division. The New York Public Library,f2f97471100bee0f2d766d0c8275e1fa,Overseas woman,2
The_New_York_Public_Library,General Research Division. The New York Public Library,6d7ce585bbab29a1e52f635e1bb578f5,Jiu jing suo yin = Manuscript and Concordance to the Nine Classics],19
The_New_York_Public_Library,General Research Division. The New York Public Library,267f1bbc5ed3a20ce9e448c6e2d206a6,Collection of book jackets,17
The_New_York_Public_Library,General Research Division. The New York Public Library,5e349bda22a62c225bfe7052b3391881,Mitteilungen der Anthropologischen Gesellschaft in Wien.,1
The_New_York_Public_Library,General Research Division. The New York Public Library,3e13c66b9c110ad80f707339d7957e71,"Humble creatures; part I. The earthworm, and the common housefly. In eight letters",1
The_New_York_Public_Library,General Research Division. The New York Public Library,566cea8581464d2a43b267c039b543f8,The Black Experience in Children's Books: Selections from Augusta Baker's Bibliographies,9
The_New_York_Public_Library,General Research Division. The New York Public Library,cdfa543f621b1cfdc04114f8ad485d40,"The monuments of Nineveh, from drawings made on the spot. By Austen Henry Layard, Esq., D.C.L. Illustrated in one hundred plates.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,048f085ac425cb9f6fa6cd5305b2f63f,Atlante del basso ed alto Egitto,3
The_New_York_Public_Library,General Research Division. The New York Public Library,850f86f7b4183af81fb04c34f1ef16c1,"Reise zum Tempel des Jupiter Ammon, in der Libyschen Wüste, und nach Ober-Aegypten in den Jahren 1820 und 1821/ von Heinrich Freiherrn von Minutoli ... ; nach den Tagebüchern sr. Excellenz hrsg. und mit Beilagen begleitet von E. H. Toelken ... ; mit einem Atlas von 38 Tafeln und einer Karte des Karavanenzuges",1
The_New_York_Public_Library,General Research Division. The New York Public Library,6f6b386f4df533fbb2e14e21da83c4d6,Inner Life,8
The_New_York_Public_Library,General Research Division. The New York Public Library,f4e3b5ccae24bd3f1fcd4f240c8ac55f,Voyage de la corvette l'Astrolabe exécuté par ordre du roi: pendant les années 1826-1827-1828-1829,1
The_New_York_Public_Library,General Research Division. The New York Public Library,ad0c5e0696f0edbecd90057e8a2eab94,The Syrian-American commercial magazine,21
The_New_York_Public_Library,General Research Division. The New York Public Library,23dab88b7ff4fa006e551d69d86dd493,Mao shi ji shi : san shi juan],12
The_New_York_Public_Library,General Research Division. The New York Public Library,f79b8fc808d92a649c2ce2839d876ba1,American rhymes.,3
The_New_York_Public_Library,General Research Division. The New York Public Library,eab5dd4919156a5d7c0e4ba02a4cdd46,"Housing: public housing, slum clearance, quasi-public housing, F. H. A. housing: January 1946- July 1949; [report to Mayor william GlDnyer",1
The_New_York_Public_Library,General Research Division. The New York Public Library,e8d539e882b869bf122fd3d518641518,Illustrated Sporting News,16
The_New_York_Public_Library,General Research Division. The New York Public Library,178364f9b3e387b6198a9544c38e984c,Ancient journals of the House of Assembly of Bermuda,7
The_New_York_Public_Library,General Research Division. The New York Public Library,fdf739397f653e88b9fd6a5d9b749a06,"Sundhya or the Daily Prayers of the Brahmins. Illustrated in a series of original drawings from nature, demonstrating their attitudes and different signs and figures performed by them during the Ceremonies of their Morning Devotions, Poojas, etc.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,84f0fa16ff985f23e5b09745b898f921,Denkmaeler aus Aegypten und Aethiopien nach den Zeichnungen der von seiner Majestat dem Koenige von Preussen Friedrich Wilhelm IV nach diesen Landern gesendeten und in den Jahren 1842-1845 ausgefuhrten wissenschaftlichen Expedition ...,3
The_New_York_Public_Library,General Research Division. The New York Public Library,33cda697cf3ab62495f7ac17e697ec49,"Monuments de l'Égypte et de la Nubie, d'après les dessins exécutés sur les lieux sous la direction de Champollion-le-jeune, et les descriptions autographes qu'il en a rédigées; pub. sous les auspices de M. Guizot et de M. Thiers ... par une commission spéciale. Planches ...",4
The_New_York_Public_Library,General Research Division. The New York Public Library,193e10f6736fd69fa50e676583855db5,"Description de l'Égypte : ou, Recueil des observations et des recherches qui ont été faites en Égypte pendant l'expédition de l'armée française.",3
The_New_York_Public_Library,General Research Division. The New York Public Library,60a45faebf7aeedaf17b53d6de2e6ffb,Die Locomotive,4
The_New_York_Public_Library,General Research Division. The New York Public Library,c059687ccb8fcedb16a5b9eaec0e6299,"The birds of America, from drawings made in the United States and their territories",2
The_New_York_Public_Library,General Research Division. The New York Public Library,d80f7e5ff18abddf0cebba05f03a980e,"Manners and customs of the ancient Egyptians, including their private life, government, laws, art, manufactures, religions, and early history; derived from a comparison of the paintings, sculptures, and monuments still existng, with the accounts of ancient authors. Illustrated by drawings of those subjects. By J.G. Wilkinson.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,774090796d3b5d1586fa60fd43b9a5a6,"Retratos de los Españoles ilustres, con un epítome de sus vidas",2
The_New_York_Public_Library,General Research Division. The New York Public Library,5a8ae6542b8c706bcb8fe273877902ec,"La botanique mise à la porteé de tout le monde; ou, Collection des plantes d'usage dans la médecine, dans les alimens et dans les arts",1
The_New_York_Public_Library,General Research Division. The New York Public Library,dff44da7d02c007ec5dc0bf17593cf5c,Dendérah : description générale du grand temple de cette ville,3
The_New_York_Public_Library,General Research Division. The New York Public Library,270bff045d188138954a8b7b1f0cda92,The World's advance-thought,2
The_New_York_Public_Library,General Research Division. The New York Public Library,01f429731e58b155e5f3350b3dde8b7e,"Ellen: or, Whisperings of an old pine",6
The_New_York_Public_Library,General Research Division. The New York Public Library,497c5f25bca45f246d9f7b5dfc9bfb8b,The belles of Japan; photographs of Japanese women of good family,1
The_New_York_Public_Library,General Research Division. The New York Public Library,def658c58fcda483b4452238ffb605f1,"Histoire naturelle des mammiferes, avec des figures originales, coloriees, dessinees d'apres des animaux vivans; publie sous l'autorite de l'administration du Museum d'histoire naturelle, par M. Geoffroy-Saint-Hilaire ... et par M. Frederic Cuvier....",2
The_New_York_Public_Library,General Research Division. The New York Public Library,db5b85dcdd9c5366d5091355cbaf4222,"Umbstandliche und eigentliche Beschreibung von Africa, und denen darzu gehorigen Konigreichen und Landschaften, als Egypten, Barbarien, Libyen, Biledulgerid, dem Lande der Negros, Guinea, Ethiopien, Abyssina, und den Africanischen Insulen; zusamt deren verscheidenen Nahmen, Grentzen, Stadten, Flussen, Gewachsen, Thieren, Sitten, Trachten, Sprachen, Reichthum, Gottesdienst un Regierung.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,b3c50dffdb902536b102b16306a8db86,New York Polyanthos,1
The_New_York_Public_Library,General Research Division. The New York Public Library,d17914323430d3bf10284bd534c02cb6,"Moths and butterflies of the United States east of the Rocky Mountains; with over 400 photographic illustrations in the text and many transfers of species from life, by Sherman F. Denton",1
The_New_York_Public_Library,General Research Division. The New York Public Library,cc67a45485b85c3c2ebc93cc62ad98d3,I monumenti dell'Egitto e della Nubia disegnati dalla spedizione scientifico-letteraria toscana in Egitto; distribuiti in ordine di materie interpretati ed illustrati dal dottore Ippolito Rosellini,2
The_New_York_Public_Library,General Research Division. The New York Public Library,b3f7c1025dfefd269ebf42d8c14df40c,"Histoire physique, politique et naturelle de l'ile de Cuba",1
The_New_York_Public_Library,General Research Division. The New York Public Library,5627777270aa66f5c04fda9cc695d8f8,"Iac. Cornvti ... Canadensivm planatarvm, aliarumque nondum editarum historia. Cui adiectum ad calcem Enchiridion botanicvm parisiense, continens indicem plantarum, quae in pagis, siluis, pratis, et montosis iuxta Parisios locis nascuntur",1
The_New_York_Public_Library,General Research Division. The New York Public Library,6e3c18982b855b5d7ccf49aec6f143cd,"Fauna boreali-americana, or, The zoology of the northern parts of British America : containing descriptions of the objects of natural history collected on the late northern land expeditions, under command of Captain Sir John Franklin, R.N.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,123e135563b5d7f2c2f54b054eed702b,A World trade center in the Port of New York,1
The_New_York_Public_Library,General Research Division. The New York Public Library,6b352344db2ecf9db4c7783ede1f2c84,Egypt & Nubia,1
The_New_York_Public_Library,General Research Division. The New York Public Library,0edaa441f7dd9db7e67ea123e14913f0,L'Égypte et la Nubie : grand album monumental historique architectural,1
The_New_York_Public_Library,General Research Division. The New York Public Library,c09d13e051f32676c79bb9672988c190,"Hannes in Amerika. Seine Erfahrungen in Deutschland und Amerika, in schwäbischen Knittelversen ... Mit einem Anhang: Das Lob der Schwaben von demselben Verfasser.",2
The_New_York_Public_Library,General Research Division. The New York Public Library,0d48f073d4bc746b924db7e002cc3321,Voyage dans la Basse et la Haute Egypte ... .,2
The_New_York_Public_Library,General Research Division. The New York Public Library,8b16353fd14fccca9a8088c2ea0cbde6,"The North American sylva; or, A description of the forest trees of the United States, Canada, and Nova Scotia, considered particularly with respect to their use in the arts, and their introduction into commerce: to which is added a description of the most useful of the European trees ...",3
The_New_York_Public_Library,General Research Division. The New York Public Library,d42623ca40ee03f48c678c066e18e8c7,"History of the Pequot war: the contemporary accounts of Mason, Underhill, Vincent and Gardener",1
The_New_York_Public_Library,General Research Division. The New York Public Library,8eb60fb74e403c22be5965f2944ef287,"Deer of all lands; a history of the family Cervidae living and extinct, by R. Lydekker.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,60e675a3af976ca9456e41dbcc4a30af,"Blumenpolypen der süssen Wasser, beschrieben und mit den Blumenpolypen der salzigen Wasser verglichen von Jacob Christian Schäffer. Nebst drey kupfertafeln mit figuren in farben.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,6efb3fa3efb1d9e4ef1ab2140d7a67d1,"The history of Japan, giving an account of the ancient and present state and government of that empire [...] Together with a description of the kingdom of Siam: giving an account of the ancient and present state and government of that empire; of its temples, palaces, castles, and other buildings; of its metals, minerals, trees, plants, animals, birds and fishes; of the chronology and succession of the emperors ... of the original descent, religions, customs, and manufactures of the natives, and of their trade and commerce with the Dutch and Chinese. Together with a description of the kingdom of Siam",1
The_New_York_Public_Library,General Research Division. The New York Public Library,636646e77f5cc4eb49409a16b8e97dad,"Africa: being an accurate description of the regions of Ægypt, Barbary, Lybia, and Billedulgerid, the land of Negroes, Guinee, Æthiopia, and the Abyssines, with all the adjacent islands ... collected and translated from most authentick authors ... by John Ogilby ...",1
The_New_York_Public_Library,General Research Division. The New York Public Library,be578263deabf823ff10a252fe0662f2,"Fine arts journal; devoted to art, music and literature.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,cb17571cdcf8144dc97b6138ab1bb31c,Chicagoan,1
The_New_York_Public_Library,General Research Division. The New York Public Library,c3d4d9711f4789fda7868c2042bce425,Ancona world,3
The_New_York_Public_Library,General Research Division. The New York Public Library,ef25c61d2d50b9b6c53aa3ece21bbb2e,"Athanasii Kircheri ...Oedipvs aegyptiacvs, hoc est vniuersalis hierolglyphicae veterum doctrinae temporum iniuria abolitae instavratio, opus ex omni orientalium doctrina & sapientia conditum, nec non viginti diuersarium linguarum authoritate stabilitum...",1
The_New_York_Public_Library,General Research Division. The New York Public Library,6efe82e6d6773977cbeaae695d8b300f,Voyage de l'Arabie Pétrée par Léon de Laborde et Linant,1
The_New_York_Public_Library,General Research Division. The New York Public Library,db5ff707a7f242d8121fc3f989a5c2a0,The birds of Europe,1
The_New_York_Public_Library,General Research Division. The New York Public Library,3a6a82bfe474627228f1f15c1a13079c,"Zoological lectures delivered at the Royal institution in the years 1806 and 1807, by George Shaw",1
The_New_York_Public_Library,General Research Division. The New York Public Library,5020cc7cf9a0fa8b436dc8acefa4ff75,Japanese fairy tales: printed in color by hand from Japanese wood blocks,1
The_New_York_Public_Library,General Research Division. The New York Public Library,37e29eae85e08262f383b4bebcb839bd,"Reichenbachia. Orchids illustrated and described, by F. Sander ... 1st[-2d] Series",2
The_New_York_Public_Library,General Research Division. The New York Public Library,830e8e08291c2d0ded7fe7659a39604f,"The antiquities, natural history, ruins and other curiosities of Egypt, Nubia and Thebes. Exemplified in near two hundred drawings taken on the spot",2
The_New_York_Public_Library,General Research Division. The New York Public Library,03d5c9c095695bf95f4944953c2780f9,"Zoological researches in Java, and the neighbouring islands",1
The_New_York_Public_Library,General Research Division. The New York Public Library,fae7dc836f03d66ae49c03deb8426e05,"Voyage en Perse de mm. Eugène Flandin, peintre, et Pascal Coste, architecte: entrepris par ordre de m. le ministre des affaires étrangères, d'après les instructions dressées par l'Institut. Publié sous les auspices de m. le ministre de l'intérieur",2
The_New_York_Public_Library,General Research Division. The New York Public Library,f7ae21c1237af0f5d2d11fc6735bf070,"Thesaurus imaginum piscium testaceorum; quales sunt cancri, echini, echinometra, stellae marinae, &c. ut et cochlearum ... quibus accedunt conchylia, ut nautilus, cornu Ammonis, & conchae univalviae et bivalviae ... denique mineralia ...",1
The_New_York_Public_Library,General Research Division. The New York Public Library,af50cc4d23580838b6cc035d5938158b,Illuminerade figurer till Skandinaviens fauna,1
The_New_York_Public_Library,General Research Division. The New York Public Library,b189433efba162985bb1685a24aebdc6,"Twenty-five years of girl scouting, 1912-1937",1
The_New_York_Public_Library,General Research Division. The New York Public Library,812802515412ba02915206d45f68538a,"Report on the proposed development of Ward's Island and the construction of a pedestrian bridge between the islandand East 103rd Street, Manhattan.",1
The_New_York_Public_Library,General Research Division. The New York Public Library,12aae14fc4ebbda4f0cdbc3fb24e2ec2,"Illustrations of Himalayan plants : chiefly selected from drawings made for the late J.F. Cathcart, Esq.re of the Bengal Civil Service",1
The_New_York_Public_Library,General Research Division. The New York Public Library,537c79e63642fb4b276a3a301fb1a038,Mao zhu xi yu lu,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,b7f365e8edddd5839ccdd5588a2a071f,The Buttolph collection of menus,348
The_New_York_Public_Library,Rare Book Division. The New York Public Library,e12b3dac15de4e5e4cca7506d96f6b05,Benjamin K. Miller collection of United States stamps,36
The_New_York_Public_Library,Rare Book Division. The New York Public Library,0522293b6a0c0dace6410d417433ed5d,Traité des arbres et arbustes que l'on cultive en France en pleine terre,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,e06ec056a04e3cb63c60742e6051fc70,"The natural history of Carolina, Florida, and the Bahama Islands",3
The_New_York_Public_Library,Rare Book Division. The New York Public Library,16cc37bb3931a7b3cb241a9377fd8cdf,W. Dieter Zander menu collection,16
The_New_York_Public_Library,Rare Book Division. The New York Public Library,42988308f756f88c64d47cd11859b0e4,"A new general collection of voyages and travels: consisting of the most esteemed relations, which have been hitherto published in any language; comprehending everything remarkable in its kind, in Europe, Asia, Africa, and America",3
The_New_York_Public_Library,Rare Book Division. The New York Public Library,e8ae549ff12ae6996836b04af4ed2bc6,Tai ping tian guo yun dong yuan shi zi liao ji,5
The_New_York_Public_Library,Rare Book Division. The New York Public Library,f4c62283a75515e262c9ac59ff4d3b6b,History and progress of the steam engine: with a practical investigation of its structure and application,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,b56dcedd99285909b439b90191da75bf,"A description of the genus Pinus: illustrated with figures; directions relative to the cultivation, and remarks on the uses of the several species: also descriptions of many other trees of the family of Coniferæ",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,39a6116b5913fd83ebbc460702753174,"A monograph of the Phasianidae: or, Family of the pheasants",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,06a441b2391d3b363381d238a202616c,Li ji ji shi: er shi wu juan,14
The_New_York_Public_Library,Rare Book Division. The New York Public Library,e56d236e0bc93d34578d2f60f8b1f9e2,Odezhdy Russkago gosudarstva,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,b422dc7d2bc6699574ae9152c162eaf4,Playing cards: Engineering,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,ec44312dd583d961c217c7df97e62cc3,Les liliacées,6
The_New_York_Public_Library,Rare Book Division. The New York Public Library,c129aab3fcbf6b407585ba21d3c98c35,Oscar Lion Collection,5
The_New_York_Public_Library,Rare Book Division. The New York Public Library,f42ab0675f83a2817c64fa73c8428a3c,Incidents of travel in Yucatan: By John L. Stephens ... Illustrated by 120 engravings....,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,3801dffd201269fb753bb981b6993f6b,The natural history of British fishes: including scientific and general descriptions of the most interesting species...,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,e15b3bf4d83c48adc6c0f660e206ef85,Playing cards: Mechanics,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,8a3e7286c879348a699239b707e9c1ec,"Zoology of New York: or, The New York fauna",4
The_New_York_Public_Library,Rare Book Division. The New York Public Library,956786f2b13cf36ac85edf305954ec7f,Mekka,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,20695e128bad146288aefbbccc0c33cc,Soete Menu Collection,8
The_New_York_Public_Library,Rare Book Division. The New York Public Library,252c14b4531dc2bc8d4ee031b0b0afff,"Ichtylogie, ou Histoire naturelle: génerale et particuliére des poissons",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,c2ebb47549004cdaa1588f6b368eb30d,Prize appeals,6
The_New_York_Public_Library,Rare Book Division. The New York Public Library,d5433353bdab775939b3ec4540e015a6,New York City Directories,5
The_New_York_Public_Library,Rare Book Division. The New York Public Library,cca9365df1087e28467ddea5d719a1c1,Martin J. Gross Collection of selected manuscripts of Voltaire 1727-1778,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,1cd5e1115cae87bf84af2e8f4558cc98,"Pilgrim's progress. From this world to that which is to come: the second part. Delivered under the similitude of a dream. Wherein is set forth the manner of the setting out of Christian's wife and children, their dangerous journey, and safe arrival at the desired countrey.",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,8d36880d5cf87a54b24ca87fd83e9236,Souvenir of the N. American Indians: as they were in the nineteenth century,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,ce0a548adfb465b4ce474f6cfd9dce33,Hortus Romanus juxta systems Tournefortianum paulo,6
The_New_York_Public_Library,Rare Book Division. The New York Public Library,a4a1d18d1444f9cd8e6a57d32bc76cad,"Rapport fait a la Convention nationale, au nom de la Commission des vingt-un, etablie par décret du 18 floréal dernier, pour examiner la conduite de Joseph Lebon",2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,970980d8c1dba0b96faf5259f94d4d48,"Mite cast into the treasury: or, Observations on slave-keeping ...",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,8a943fda8b1f204e06c69af3da44f51f,"Milton, a poem in 2 books: The author & printer W. Blake. To justify the ways of God to men",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,ac20bb6e3444e73d33318acb958a29da,The birds of Great Britain,2
The_New_York_Public_Library,Rare Book Division. The New York Public Library,6420903d7166ef69791c7e8373d16e42,"Compendiosa totius anatomie delineatio, ære exarata",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,0efb8318499aa1e4f4144f1949f3ffcb,Illustrations of Indian zoology: chiefly ... from the collection of Major-General Hardwicke ...,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,7053756f32bc07db241f625851c08083,"Les pigeons, par Madame Knip, née Pauline de Courcelles... paintre d'histoire naturelle ... Le texte par ... Themminck",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,f59da3e27d7e1e9b1bd8ebb4c103553d,Baratta Menu Collection,3
The_New_York_Public_Library,Rare Book Division. The New York Public Library,72fc4cea285e94903f62636623f8b902,The zoology of Captain Beechey's voyage,1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,e7b250a56e7aa26b0d99fd8d1f1143d8,"The aboriginal port folio: or, a collection of portraits of the most celebrated chiefs of the North American Indians",1
The_New_York_Public_Library,Rare Book Division. The New York Public Library,1735022918681942785f9589254b18ff,"Del moto e misura dell'acqua, di Leonardo da Vinci",1
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,9980228c2949f46543e5b44e683520a1,"Elizabeth Barrett Browning collection of papers, 1764-[1973] bulk (1812-1883). [Microfilm]",14
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,19a2ab0c925848d3dbb04274a2c7e52e,Sophia Peabody Hawthorne collection of papers,132
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,f74c253803f16a61903e271cfde9863a,"Walt Whitman papers, 1854-1892",64
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,e16e74c65fa63b448bc29e3cdc8b2ebe,"Samuel Langhorne Clemens collection of papers, 1856-1938 (bulk 1870-1938)",160
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,bece0be021b0728e458d7fd7a8d3eaa6,"Nathaniel Hawthorne collection of papers, 1694-1931 bulk (1817-1864)",30
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,5b0e862bb0483c7c46a7ba8361d33e5d,Charles Dickens collection of papers: microfilm,28
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,f9ee101789687c590e154b64e6e8b2d6,"Henry David Thoreau Papers, 1837-1917 bulk (1837-1860)",27
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,fc218e21456bfda5bf8451826f3a2e0c,"Gertrude Stein, part of a life in pictures",6
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,c07ccc488e41cb831afb61cd076415b3,Edward Thomas collection of papers,6
The_New_York_Public_Library,Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,68b42d63f8e6d5e3fe0dfab129d8512a,Berg collection of holograph letters,1
